The Top 100 pages with page rank for Lehigh web are:
Rank  pageRank  Link
1 0.007947 http://www1.lehigh.edu/studentlife/housingdining
2 0.007947 http://www1.lehigh.edu/studentlife/campusinvolvement
3 0.007947 http://www1.lehigh.edu/studentlife/inclusivecampus
4 0.007947 http://www1.lehigh.edu/studentlife/academiclife
5 0.007947 http://www1.lehigh.edu/studentlife/resources
6 0.007947 http://www1.lehigh.edu/studentlife/healthsafety
7 0.007947 http://www1.lehigh.edu/community.1
8 0.007947 http://www1.lehigh.edu/studentlife.1
9 0.007947 http://www1.lehigh.edu/research
10 0.007947 http://www1.lehigh.edu/home
11 0.007947 http://www1.lehigh.edu/academics.1
12 0.007947 http://www1.lehigh.edu/about.1
13 0.007947 http://www1.lehigh.edu/insidelehigh
14 0.007947 http://www1.lehigh.edu/diversity.1
15 0.007946 http://www1.lehigh.edu/emergency.1
16 0.007944 http://www1.lehigh.edu/academics/graduate/admissions
17 0.007940 http://www1.lehigh.edu/communications/resources/socialmediadirectory
18 0.007903 http://www1.lehigh.edu/admissions/undergrad/visit.1
19 0.007903 http://www1.lehigh.edu/admissions/undergrad/transfer.1
20 0.007903 http://www1.lehigh.edu/admissions/undergrad/tuition.1
21 0.007903 http://www1.lehigh.edu/admissions/undergrad/intl
22 0.007903 http://www1.lehigh.edu/admissions/undergrad/contact.1
23 0.007903 http://www1.lehigh.edu/admissions/undergrad/programs
24 0.007903 http://www1.lehigh.edu/admissions/undergrad/apply.1
25 0.007858 http://www1.lehigh.edu/about/maps.1
26 0.007858 http://www1.lehigh.edu/about/jobs
27 0.007858 http://www1.lehigh.edu/about/leadership.1
28 0.007858 http://www1.lehigh.edu/about/history.1
29 0.007858 http://www1.lehigh.edu/about/parfam
30 0.007858 http://www1.lehigh.edu/about/glance
31 0.007858 http://www1.lehigh.edu/about/visitors
32 0.007858 http://www1.lehigh.edu/about/luevents.1
33 0.007858 http://www1.lehigh.edu/about/traditions
34 0.007856 http://www1.lehigh.edu/about/privacy
35 0.007856 http://www1.lehigh.edu/about/mobilefriendly
36 0.007856 http://www1.lehigh.edu/about/copyright
37 0.007856 http://www1.lehigh.edu/about/contactlehigh
38 0.007856 http://www1.lehigh.edu/about/serviceagreement
39 0.007839 http://www1.lehigh.edu/academics/colleges
40 0.007839 http://www1.lehigh.edu/academics/graduate.1
41 0.007839 http://www1.lehigh.edu/academics/undergraduate.1
