The Top 30 pages with highest SimRank are:
Rank  SimRank  Link
1 0.202723 http://www1.lehigh.edu/node/13119
2 0.013325 http://www1.lehigh.edu/studentlife/housingdining
3 0.013325 http://www1.lehigh.edu/studentlife/campusinvolvement
4 0.013325 http://www1.lehigh.edu/studentlife/inclusivecampus
5 0.013325 http://www1.lehigh.edu/studentlife/academiclife
6 0.013325 http://www1.lehigh.edu/studentlife/resources
7 0.013325 http://www1.lehigh.edu/studentlife/healthsafety
8 0.013325 http://www1.lehigh.edu/community.1
9 0.013325 http://www1.lehigh.edu/studentlife.1
10 0.013325 http://www1.lehigh.edu/research
11 0.013325 http://www1.lehigh.edu/home
12 0.013325 http://www1.lehigh.edu/academics.1
13 0.013325 http://www1.lehigh.edu/about.1
14 0.013325 http://www1.lehigh.edu/insidelehigh
15 0.013325 http://www1.lehigh.edu/diversity.1
16 0.013325 http://www1.lehigh.edu/emergency.1
17 0.013323 http://www1.lehigh.edu/communications/resources/socialmediadirectory
18 0.013315 http://www1.lehigh.edu/academics/graduate/admissions
19 0.013224 http://www1.lehigh.edu/admissions/undergrad/visit.1
20 0.013224 http://www1.lehigh.edu/admissions/undergrad/transfer.1
21 0.013224 http://www1.lehigh.edu/admissions/undergrad/tuition.1
22 0.013224 http://www1.lehigh.edu/admissions/undergrad/intl
23 0.013224 http://www1.lehigh.edu/admissions/undergrad/contact.1
24 0.013224 http://www1.lehigh.edu/admissions/undergrad/programs
25 0.013224 http://www1.lehigh.edu/admissions/undergrad/apply.1
26 0.013158 http://www1.lehigh.edu/about/maps.1
27 0.013158 http://www1.lehigh.edu/about/jobs
28 0.013158 http://www1.lehigh.edu/about/leadership.1
29 0.013158 http://www1.lehigh.edu/about/history.1
30 0.013158 http://www1.lehigh.edu/about/parfam
